ID,IN_TIME,REF_ID,CON_NUM,CON_SIZE,STATUS
322,14-03-22 15.46.44,ALO11887,SPRE0057868,20,L
322,14-03-22 15.46.44,ALO11887,ANKJ1447873,20,L
322,14-03-22 15.46.44,ALO11887,ACLU3053768,20,L
326,17-04-22 04.41.42,DP02MAR10,BUDE0578181,40,L
326,17-04-22 04.41.42,DP02MAR10,UPDU1678037,20,E
326,17-04-22 04.41.42,DP02MAR10,FZPU2318420,20,E
326,17-04-22 04.41.42,DP02MAR10,EFYD6689495,20,E
326,17-04-22 04.41.42,DP02MAR10,SHYS7657100,20,E
326,17-04-22 04.41.42,DP02MAR10,ECHT3406160,20,E
326,17-04-22 04.41.42,DP02MAR10,MPQD4457059,20,E
326,17-04-22 04.41.42,DP02MAR10,EMVG7004395,20,E
326,17-04-22 04.41.42,DP02MAR10,RNFL4704213,20,E
326,17-04-22 04.41.42,DP02MAR10,KASH0692064,20,E
326,17-04-22 04.41.42,DP02MAR10,CGHU4430259,20,E
326,17-04-22 04.41.42,DP02MAR10,ZLXU8292183,20,E
326,17-04-22 04.41.42,DP02MAR10,SDYU6422343,20,E
326,17-04-22 04.41.42,DP02MAR10,EINJ6527750,20,E
326,17-04-22 04.41.42,DP02MAR10,INOE3879979,20,E
326,17-04-22 04.41.42,DP02MAR10,KOLX9140559,20,E
326,17-04-22 04.41.42,DP02MAR10,WQHH9597517,20,E
326,17-04-22 04.41.42,DP02MAR10,ZHXH0287646,20,E
326,17-04-22 04.41.42,DP02MAR10,EPGG1844361,20,E
326,17-04-22 04.41.42,DP02MAR10,NOBM6093496,20,L
326,17-04-22 04.41.42,DP02MAR10,JKSB5893535,20,L
326,17-04-22 04.41.42,DP02MAR10,WYJK6436245,40,E
326,17-04-22 04.41.42,DP02MAR10,ENVM9006489,40,E
326,17-04-22 04.41.42,DP02MAR10,TAOD7578130,40,E
326,17-04-22 04.41.42,DP02MAR10,RQQE1536180,40,L
326,17-04-22 04.41.42,DP02MAR10,OIEW7141568,40,L
326,17-04-22 04.41.42,DP02MAR10,KJXE8206734,40,L
326,17-04-22 04.41.42,DP02MAR10,OJWD1518778,40,L
326,17-04-22 04.41.42,DP02MAR10,JQBF1615361,40,L
326,17-04-22 04.41.42,DP02MAR10,XOPQ0457158,40,L
326,17-04-22 04.41.42,DP02MAR10,OOJT7350175,40,E
326,17-04-22 04.41.42,DP02MAR10,MFMP2395010,40,L
326,17-04-22 04.41.42,DP02MAR10,SPPD2689622,40,L
326,17-04-22 04.41.42,DP02MAR10,WBNW7185601,40,L
326,17-04-22 04.41.42,DP02MAR10,IVEO1102187,40,L
326,17-04-22 04.41.42,DP02MAR10,NCOR9929482,40,L
326,17-04-22 04.41.42,DP02MAR10,IXDV3010411,40,E
326,17-04-22 04.41.42,DP02MAR10,EQXG3186042,40,L
326,17-04-22 04.41.42,DP02MAR10,TTXW7378769,40,L
