REF_ID,IN_TIME,VALIDITY,CON_NUM,CON_SIZE,STATUS,OUT_TIME,,,,,,,,,,,,,,,
EFS31075,12-11-22 01.29.54,15-11-22 01.29.54,QSNE0761953,40,E,07-02-23 01.23.13,,,,,,,,,,,,,,,
EFS31294,22-11-22 13.40.39,25-11-22 13.40.39,OFXS8497438,40,E,02-02-23 19.33.43,,,,,,,,,,,,,,,
EFS31695,04-12-22 17.13.02,07-12-22 17.13.02,DRVO4626646,20,E,10-02-23 05.09.09,,,,,,,,,,,,,,,
EFS31708,05-12-22 16.08.52,08-12-22 16.08.52,AYVO2980897,20,E,28-02-23 08.22.09,,,,,,,,,,,,,,,
EFS31708,05-12-22 16.08.52,08-12-22 16.08.52,JJRB9424765,20,E,17-04-23 17.23.17,,,,,,,,,,,,,,,
EFS31708,05-12-22 16.08.52,08-12-22 16.08.52,FHYM4955027,20,E, ,,,,,,,,,,,,,,,
EFS31708,05-12-22 16.08.52,08-12-22 16.08.52,FMCI9681980,20,E,19-04-23 01.16.25,,,,,,,,,,,,,,,
EFS31708,05-12-22 16.08.52,08-12-22 16.08.52,JLBL7272687,20,E,28-04-23 17.24.11,,,,,,,,,,,,,,,
EFS31875,11-12-22 23.20.32,14-12-22 23.20.32,GTBR2975100,20,E,10-02-23 22.01.36,,,,,,,,,,,,,,,
EFS32155,19-12-22 19.44.19,22-12-22 19.44.19,XEWY1281673,40,E,21-03-23 00.40.12,,,,,,,,,,,,,,,
EFS32267,23-12-22 09.12.51,26-12-22 09.12.51,MUGM7097804,20,E,06-02-23 02.53.35,,,,,,,,,,,,,,,
EXP11625-121058,30-12-22 14.44.25,30-12-22 14.44.25,SUQD3441303,40,L,13-02-23 13.14.36,,,,,,,,,,,,,,,
EXP11625-121058,30-12-22 14.44.25,30-12-22 14.44.25,ASZN7072275,40,L,13-02-23 13.16.28,,,,,,,,,,,,,,,
EFS16112-121398-383569,26-12-22 01.52.23,29-12-22 01.52.23,IVGZ1307148,20,L,13-02-23 13.16.05,,,,,,,,,,,,,,,
EFS32687,05-01-23 16.14.59,08-01-23 16.14.59,YKDJ3263462,40,E,11-02-23 01.11.04,,,,,,,,,,,,,,,
EFS32681,05-01-23 14.25.24,08-01-23 14.25.24,SGOZ9601524,40,E,11-02-23 11.04.47,,,,,,,,,,,,,,,
EFS32681,05-01-23 14.25.24,08-01-23 14.25.24,EJSB1973061,40,E,11-02-23 00.23.51,,,,,,,,,,,,,,,
IGOJO03235,19-01-23 16.24.21,22-01-23 16.24.21,XSDD6903189,40,L,02-02-23 13.35.34,,,,,,,,,,,,,,,
IGOJO03235,19-01-23 16.24.21,22-01-23 16.24.21,FODY4182428,40,L,02-02-23 13.36.24,,,,,,,,,,,,,,,
IGOJO03235,19-01-23 16.24.21,22-01-23 16.24.21,ZFCD6538569,40,L,02-02-23 13.36.47,,,,,,,,,,,,,,,
IGOJO03235,19-01-23 16.24.21,22-01-23 16.24.21,ZSBA6162814,40,L,02-02-23 13.36.08,,,,,,,,,,,,,,,
IGOJO03235,19-01-23 16.24.21,22-01-23 16.24.21,HQAW3384376,40,L,02-02-23 13.35.51,,,,,,,,,,,,,,,
IGOJO03235,19-01-23 16.24.21,22-01-23 16.24.21,HDWW7890572,40,L,02-02-23 13.35.05,,,,,,,,,,,,,,,
IGOJO03235,19-01-23 16.24.21,22-01-23 16.24.21,CUDY6584489,40,L,02-02-23 13.28.40,,,,,,,,,,,,,,,
IGOJO03235,19-01-23 16.24.21,22-01-23 16.24.21,UCIH2198237,40,L,02-02-23 13.34.44,,,,,,,,,,,,,,,
EFS33163,19-01-23 16.48.53,22-01-23 16.48.53,GQRQ3986457,20,E,09-02-23 01.57.08,,,,,,,,,,,,,,,
EFS33163,19-01-23 16.48.53,22-01-23 16.48.53,NNTD7295128,20,E,06-02-23 14.33.06,,,,,,,,,,,,,,,
EFS33163,19-01-23 16.48.53,22-01-23 16.48.53,ZFUV4794968,20,E,13-02-23 08.32.33,,,,,,,,,,,,,,,
EFS33163,19-01-23 16.48.53,22-01-23 16.48.53,IOXU1658236,20,E,13-02-23 08.32.33,,,,,,,,,,,,,,,
EFS33163,19-01-23 16.48.53,22-01-23 16.48.53,IKEE6360781,20,E,02-02-23 00.41.52,,,,,,,,,,,,,,,
EFS33163,19-01-23 16.48.53,22-01-23 16.48.53,OXVM6890084,20,E,06-02-23 14.31.54,,,,,,,,,,,,,,,
EFS33268,22-01-23 19.43.24,25-01-23 19.43.24,IFLA5118450,20,E,12-03-23 01.07.09,,,,,,,,,,,,,,,
EFS33268,22-01-23 19.43.24,25-01-23 19.43.24,PGMH2755386,20,E,11-03-23 23.27.49,,,,,,,,,,,,,,,
EFS32969,14-01-23 02.43.10,17-01-23 02.43.10,FCXB8755383,20,E,12-02-23 12.33.50,,,,,,,,,,,,,,,
EFS32975,14-01-23 07.22.06,17-01-23 07.22.06,PFTS8539096,20,E,10-02-23 21.20.22,,,,,,,,,,,,,,,
